	Kingdom	Phylum	Class	Order	Family	Genus
sq1938	Bacteria	Chloroflexi	Dehalococcoidia	SAR202_clade	SAR202_clade_unclassified	SAR202_clade_unclassified
sq1939	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NB1-j_unclassified	NB1-j_unclassified
sq1940	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade	Candidatus_Puniceispirillum
sq1941	Bacteria	Margulisbacteria	Margulisbacteria_unclassified	Margulisbacteria_unclassified	Margulisbacteria_unclassified	Margulisbacteria_unclassified
sq1942	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospiraceae_unclassified
sq1943	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade
sq1944	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
sq1945	Bacteria	Acidobacteria	Subgroup_6	Subgroup_6_unclassified	Subgroup_6_unclassified	Subgroup_6_unclassified
sq1946	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Methylophagaceae	Methylophagaceae_unclassified
sq1947	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	MWH-UniP1_aquatic_group
sq1948	Bacteria	Chloroflexi	Dehalococcoidia	SAR202_clade	SAR202_clade_unclassified	SAR202_clade_unclassified
sq1949	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella
sq1950	Bacteria	Nitrospinae	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina
sq1951	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionellaceae_unclassified
sq1952	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Clade_II	SAR11_Clade_II_unclassified
sq1953	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Loktanella
